date,tri,tri_wealth_from_development_anchor
2022-01-31,22881.58,23141926.67509482
2022-02-01,23180.44,23444187.104930468
2022-02-02,23452.49,23719332.490518335
2022-02-03,23215.34,23479484.19721871
2022-02-04,23138.74,23402012.642225035
2022-02-07,22809.5,23069026.548672568
2022-02-08,22788.92,23048212.38938053
2022-02-09,23037.24,23299357.774968397
2022-02-10,23186.39,23450204.804045513
2022-02-11,22847.57,23107529.709228825
2022-02-14,22103.72,22355216.18204804
2022-02-15,22726.82,22985405.815423515
2022-02-16,22706.7,22965056.89001264
2022-02-17,22682.48,22940561.314791404
2022-02-18,22588.37,22845380.530973453
2022-02-21,22419.75,22674841.972187106
2022-02-22,22254.97,22508187.104930468
2022-02-23,22282.64,22536171.93426043
2022-02-24,21159.69,21400445.006321114
